yr	type	reportingCountry	partnerCountry	commodity	TradeValue
2008	Import	Viet Nam	USA	Live animals; animal products	2723906
2008	Export	Viet Nam	USA	Live animals; animal products	1227222
2008	Import	Viet Nam	USA	Meat and edible meat offal	97666634
2008	Export	Viet Nam	USA	Meat and edible meat offal	386900
2008	Import	Viet Nam	USA	"Fish and crustaceans, molluscs and other acquatic invertebrates"	5287893
2008	Export	Viet Nam	USA	"Fish and crustaceans, molluscs and other acquatic invertebrates"	551776199
2008	Import	Viet Nam	USA	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"	62937893
2008	Export	Viet Nam	USA	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"	33166312
2008	Import	Viet Nam	USA	"Products of animal origin, not elsewhere specified or included"	4119954
2008	Export	Viet Nam	USA	"Products of animal origin, not elsewhere specified or included"	94509
2008	Import	Viet Nam	USA	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	10834
2008	Export	Viet Nam	USA	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	225393
2008	Import	Viet Nam	USA	Edible vegetables and certain roots and tubers	2061852
2008	Export	Viet Nam	USA	Edible vegetables and certain roots and tubers	2069268
2008	Import	Viet Nam	USA	Edible fruit and nuts; peel of citrus fruit or melons	10907067
2008	Export	Viet Nam	USA	Edible fruit and nuts; peel of citrus fruit or melons	251295561
2008	Import	Viet Nam	USA	"Coffee, tea, maté and spices"	200423
2008	Export	Viet Nam	USA	"Coffee, tea, maté and spices"	262142443
2008	Import	Viet Nam	USA	Cereals	34158066
2008	Export	Viet Nam	USA	Cereals	9580936
2008	Import	Viet Nam	USA	Products of the milling industry; malt; starches; inulin; wheat gluten	685845
2008	Export	Viet Nam	USA	Products of the milling industry; malt; starches; inulin; wheat gluten	1297302
2008	Import	Viet Nam	USA	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder"	55460068
2008	Export	Viet Nam	USA	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder"	2129264
2008	Import	Viet Nam	USA	"Lac; gums, resins and other vegetable saps and extracts"	2756342
2008	Export	Viet Nam	USA	Vegetable plaiting materials; vegetable products not elsewhere specified or included	23875
2008	Import	Viet Nam	USA	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes	2058057
2008	Export	Viet Nam	USA	Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes	669541
2008	Import	Viet Nam	USA	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	1492231
2008	Export	Viet Nam	USA	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	188984027
2008	Import	Viet Nam	USA	Sugars and sugar confectionery	15997990
2008	Export	Viet Nam	USA	Sugars and sugar confectionery	4288092
2008	Import	Viet Nam	USA	Cocoa and cocoa preparations	1220638
2008	Export	Viet Nam	USA	Cocoa and cocoa preparations	189946
2008	Import	Viet Nam	USA	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	2022393
2008	Export	Viet Nam	USA	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	18294268
2008	Import	Viet Nam	USA	"Preparations of vegetables, fruit, nuts or other parts of plants"	4768931
2008	Export	Viet Nam	USA	"Preparations of vegetables, fruit, nuts or other parts of plants"	36337704
2008	Import	Viet Nam	USA	Miscellaneous edible preparations	10836940
2008	Export	Viet Nam	USA	Miscellaneous edible preparations	8294792
2008	Import	Viet Nam	USA	"Beverages, spirits and vinegar"	1640826
2008	Export	Viet Nam	USA	"Beverages, spirits and vinegar"	378423
2008	Import	Viet Nam	USA	Residues and waste from the food industries; prepared animal fodder	140457222
2008	Export	Viet Nam	USA	Residues and waste from the food industries; prepared animal fodder	1972796
2008	Import	Viet Nam	USA	Tobacco and manufactured tobacco substitutes	7568974
2008	Export	Viet Nam	USA	Tobacco and manufactured tobacco substitutes	434050
2008	Import	Viet Nam	USA	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	3446889
2008	Export	Viet Nam	USA	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	805701
2008	Import	Viet Nam	USA	"Ores, slag and ash"	3282470
2008	Import	Viet Nam	USA	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"	2722391
2008	Export	Viet Nam	USA	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"	1016221000
2008	Import	Viet Nam	USA	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"	15773140
2008	Export	Viet Nam	USA	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"	2521757
2008	Import	Viet Nam	USA	Organic chemicals	22189931
2008	Export	Viet Nam	USA	Organic chemicals	3238840
2008	Import	Viet Nam	USA	Pharmaceutical products	21023836
2008	Export	Viet Nam	USA	Pharmaceutical products	194584
2008	Import	Viet Nam	USA	Fertilisers	3236517
2008	Import	Viet Nam	USA	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks"	13955960
2008	Export	Viet Nam	USA	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks"	50424
2008	Import	Viet Nam	USA	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	10745970
2008	Export	Viet Nam	USA	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	1190972
2008	Import	Viet Nam	USA	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificialwaxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, \dental waxes\"" and dental preparations with a basis o"""	9199770
2008	Export	Viet Nam	USA	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificialwaxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, \dental waxes\"" and dental preparations with a basis o"""	93418473
2008	Import	Viet Nam	USA	Albuminoidal substances; modified starches; glues; enzymes	5639081
2008	Export	Viet Nam	USA	Albuminoidal substances; modified starches; glues; enzymes	223722
2008	Import	Viet Nam	USA	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	125860
2008	Export	Viet Nam	USA	Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations	2500
2008	Import	Viet Nam	USA	Photographic or cinematographic goods	6634301
2008	Import	Viet Nam	USA	Miscellaneous chemical products	39109631
2008	Export	Viet Nam	USA	Miscellaneous chemical products	6726283
2008	Import	Viet Nam	USA	Plastics and articles thereof	180204572
2008	Export	Viet Nam	USA	Plastics and articles thereof	170356574
2008	Import	Viet Nam	USA	Rubber and articles thereof	21490764
2008	Export	Viet Nam	USA	Rubber and articles thereof	81284379
2008	Import	Viet Nam	USA	Raw hides and skins(other than furskins) and leather	97901641
2008	Export	Viet Nam	USA	Raw hides and skins(other than furskins) and leather	65084
2008	Import	Viet Nam	USA	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"	316239
2008	Export	Viet Nam	USA	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"	157131007
2008	Import	Viet Nam	USA	Furskins and artificial fur; manufactures thereof	38292
2008	Export	Viet Nam	USA	Furskins and artificial fur; manufactures thereof	65631
2008	Import	Viet Nam	USA	Wood and articles of wood; wood charcoal	125578622
2008	Export	Viet Nam	USA	Wood and articles of wood; wood charcoal	47280500
2008	Import	Viet Nam	USA	Cork and articles of cork	12533
2008	Import	Viet Nam	USA	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	16605
2008	Export	Viet Nam	USA	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	19829055
2008	Import	Viet Nam	USA	Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) of paper or paperboard	49197779
2008	Export	Viet Nam	USA	Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) of paper or paperboard	9281
2008	Import	Viet Nam	USA	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	22931501
2008	Export	Viet Nam	USA	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	100985218
2008	Import	Viet Nam	USA	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"	1508313
2008	Export	Viet Nam	USA	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"	584208
2008	Import	Viet Nam	USA	Silk	13527
2008	Export	Viet Nam	USA	Silk	429397
2008	Export	Viet Nam	USA	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	103355
2008	Import	Viet Nam	USA	Cotton	197912668
2008	Export	Viet Nam	USA	Cotton	1959494
2008	Import	Viet Nam	USA	Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn	1011
2008	Import	Viet Nam	USA	Man-made filaments; strip and the like of man-made textile materials	1898218
2008	Export	Viet Nam	USA	Man-made filaments; strip and the like of man-made textile materials	10756528
2008	Import	Viet Nam	USA	Man-made staple fibres	3972011
2008	Export	Viet Nam	USA	Man-made staple fibres	20373124
2008	Import	Viet Nam	USA	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	16826684
2008	Export	Viet Nam	USA	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	7407314
2008	Import	Viet Nam	USA	Carpets and other textile floor coverings	471632
2008	Export	Viet Nam	USA	Carpets and other textile floor coverings	3955639
2008	Import	Viet Nam	USA	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	2053792
2008	Export	Viet Nam	USA	Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery	1684793
2008	Import	Viet Nam	USA	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"	5045300
2008	Export	Viet Nam	USA	"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use"	9422794
2008	Import	Viet Nam	USA	Knitted or crocheted fabrics	1083420
2008	Export	Viet Nam	USA	Knitted or crocheted fabrics	8316833
2008	Import	Viet Nam	USA	"Articles of apparel and clothing accessories, knitted or crocheted"	1000195
2008	Export	Viet Nam	USA	"Articles of apparel and clothing accessories, knitted or crocheted"	2672495949
2008	Import	Viet Nam	USA	"Articles of apparel and clothing accessories, not knitted or crocheted"	738057
2008	Export	Viet Nam	USA	"Articles of apparel and clothing accessories, not knitted or crocheted"	2399668541
2008	Import	Viet Nam	USA	Other made up textile articles; sets; worn clothing and worn textile articles; rags	300163
2008	Export	Viet Nam	USA	Other made up textile articles; sets; worn clothing and worn textile articles; rags	56115048
2008	Import	Viet Nam	USA	"Footwear, gaiters and the like; parts of such articles"	29042840
2008	Export	Viet Nam	USA	"Footwear, gaiters and the like; parts of such articles"	1076206817
2008	Import	Viet Nam	USA	Headgear and parts thereof	96365
2008	Export	Viet Nam	USA	Headgear and parts thereof	65636892
2008	Import	Viet Nam	USA	"Umbrella, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof"	2169
2008	Export	Viet Nam	USA	"Umbrella, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof"	1424890
2008	Import	Viet Nam	USA	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair	1534165
2008	Export	Viet Nam	USA	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair	970394
2008	Import	Viet Nam	USA	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	1967398
2008	Export	Viet Nam	USA	"Articles of stone, plaster, cement, asbestos, mica or similar materials"	3431957
2008	Import	Viet Nam	USA	Ceramic products	4070393
2008	Export	Viet Nam	USA	Ceramic products	40711169
2008	Import	Viet Nam	USA	Glass and glassware	3855182
2008	Export	Viet Nam	USA	Glass and glassware	41659217
2008	Import	Viet Nam	USA	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals cladwith precious metal, and articles thereof; imitation jewellery; coin"	19540178
2008	Export	Viet Nam	USA	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals cladwith precious metal, and articles thereof; imitation jewellery; coin"	22322226
2008	Import	Viet Nam	USA	Iron and steel	316245614
2008	Export	Viet Nam	USA	Iron and steel	10972791
2008	Import	Viet Nam	USA	Articles of iron or steel	28459875
2008	Export	Viet Nam	USA	Articles of iron or steel	84457872
2008	Import	Viet Nam	USA	Copper and articles thereof	3097195
2008	Export	Viet Nam	USA	Copper and articles thereof	1682684
2008	Import	Viet Nam	USA	Nickel and articles thereof	303860
2008	Export	Viet Nam	USA	Nickel and articles thereof	1696
2008	Import	Viet Nam	USA	Aluminum and articles thereof	14357259
2008	Export	Viet Nam	USA	Aluminum and articles thereof	4663900
2008	Import	Viet Nam	USA	Lead and articles thereof	211699
2008	Import	Viet Nam	USA	Zinc and articles thereof	128207
2008	Export	Viet Nam	USA	Zinc and articles thereof	154928
2008	Import	Viet Nam	USA	Tin and articles thereof	3028
2008	Export	Viet Nam	USA	Tin and articles thereof	34700
2008	Import	Viet Nam	USA	Other base metals; cermets; articles thereof	131301
